,y(t-3),y(t-2),y(t-1),y(t)
247,5.2167,5.2333,5.25,5.25
248,5.2333,5.25,5.25,5.25
249,5.25,5.25,5.25,5.25
250,5.25,5.25,5.25,5.3167
251,5.25,5.25,5.3167,5.3833
252,5.25,5.3167,5.3833,5.45
253,5.3167,5.3833,5.45,5.4533
254,5.3833,5.45,5.4533,5.4567
255,5.45,5.4533,5.4567,5.46
256,5.4533,5.4567,5.46,5.4633
257,5.4567,5.46,5.4633,5.4667
258,5.46,5.4633,5.4667,5.47
259,5.4633,5.4667,5.47,5.47
260,5.4667,5.47,5.47,5.47
261,5.47,5.47,5.47,5.47
262,5.47,5.47,5.47,5.48
263,5.47,5.47,5.48,5.49
264,5.47,5.48,5.49,5.5
265,5.48,5.49,5.5,5.4667
266,5.49,5.5,5.4667,5.4333
267,5.5,5.4667,5.4333,5.4
268,5.4667,5.4333,5.4,5.3333
269,5.4333,5.4,5.3333,5.2667
270,5.4,5.3333,5.2667,5.2
271,5.3333,5.2667,5.2,5.21
272,5.2667,5.2,5.21,5.22
273,5.2,5.21,5.22,5.23
274,5.21,5.22,5.23,5.1867
275,5.22,5.23,5.1867,5.1433
276,5.23,5.1867,5.1433,5.1
277,5.1867,5.1433,5.1,5.0667
278,5.1433,5.1,5.0667,5.0333
279,5.1,5.0667,5.0333,5.0
280,5.0667,5.0333,5.0,5.0167
281,5.0333,5.0,5.0167,5.0333
282,5.0,5.0167,5.0333,5.05
283,5.0167,5.0333,5.05,5.3
284,5.0333,5.05,5.3,5.55
285,5.05,5.3,5.55,5.8
286,5.3,5.55,5.8,5.6
287,5.55,5.8,5.6,5.4
288,5.8,5.6,5.4,5.2
